Dist Code,Year,State Code,State Name,Dist Name,RICE AREA (1000 ha),RICE PRODUCTION (1000 tons),WHEAT AREA (1000 ha),WHEAT PRODUCTION (1000 tons),KHARIF SORGHUM AREA (1000 ha),KHARIF SORGHUM PRODUCTION (1000 tons),RABI SORGHUM AREA (1000 ha),RABI SORGHUM PRODUCTION (1000 tons),SORGHUM AREA (1000 ha),SORGHUM PRODUCTION (1000 tons),PEARL MILLET AREA (1000 ha),PEARL MILLET PRODUCTION (1000 tons),MAIZE AREA (1000 ha),MAIZE PRODUCTION (1000 tons),FINGER MILLET AREA (1000 ha),FINGER MILLET PRODUCTION (1000 tons),BARLEY AREA (1000 ha),BARLEY PRODUCTION (1000 tons),CHICKPEA AREA (1000 ha),CHICKPEA PRODUCTION (1000 tons),PIGEONPEA AREA (1000 ha),PIGEONPEA PRODUCTION (1000 tons),MINOR PULSES AREA (1000 ha),MINOR PULSES PRODUCTION (1000 tons),GROUNDNUT AREA (1000 ha),GROUNDNUT PRODUCTION (1000 tons),SESAMUM AREA (1000 ha),SESAMUM PRODUCTION (1000 tons),RAPESEED AND MUSTARD AREA (1000 ha),RAPESEED AND MUSTARD PRODUCTION (1000 tons),SAFFLOWER AREA (1000 ha),SAFFLOWER PRODUCTION (1000 tons),CASTOR AREA (1000 ha),CASTOR PRODUCTION (1000 tons),LINSEED AREA (1000 ha),LINSEED PRODUCTION (1000 tons),SUNFLOWER AREA (1000 ha),SUNFLOWER PRODUCTION (1000 tons),SOYABEAN AREA (1000 ha),SOYABEAN PRODUCTION (1000 tons),OILSEEDS AREA (1000 ha),OILSEEDS PRODUCTION (1000 tons),COTTON AREA (1000 ha),COTTON PRODUCTION (1000 tons)
1,1966,14,Chhattisgarh,Durg,548,185,44,20,0.6,0.4,0,0,0.6,0.4,0,0,3,2,0.8,0.2,0.1,0,54,27,37,15,114.96,-1,0.2,0.1,3,0.3,1,0.2,0.07,0,0.7,0.2,45.7,6.8,0,0,0,0,50.7,-1,0,0
1,1967,14,Chhattisgarh,Durg,547,409,50,26,1.1,0.9,0,0,1.1,0.9,0,0,3,3,0.9,0.2,0.2,0.1,52,15,36,26,269.54,-1,0.1,0.1,11.6,0.9,1.1,0.3,0.01,0,0.5,0.1,100.1,25.8,0,0,0,0,113.55,-1,0,0
1,1968,14,Chhattisgarh,Durg,556.3,468,53.7,30,0.5,0.4,0,0,0.5,0.4,0,0,2.8,2,0.8,0.2,0.2,0.1,51.3,23,35.7,28,289.46,-1,0.1,0.1,11.3,1.6,1.2,0.5,0.02,0,0.6,0.3,113.3,23.8,0,0,0,0,126.62,-1,0,0
1,1969,14,Chhattisgarh,Durg,563.4,400.8,49.4,26.5,0.8,0.6,0,0,0.8,0.6,0,0,2.7,2.3,0.8,0.2,0.2,0.1,52.6,23.1,35.7,27.3,298.18,98.3,0.1,0.1,11.4,1.4,1.2,0.4,0.02,0,0.5,0.1,101.1,13,0,0,0,0,114.14,14.9,0,0
1,1970,14,Chhattisgarh,Durg,571.6,473.6,44.2,29,0.9,0.6,0,0,0.9,0.6,0,0,2.5,3.3,0.8,0.2,0.1,0.1,53.3,32.6,33.3,35.2,342.8,142.9,0.1,0.1,10.8,1.1,1.1,0.4,0.02,0,0.4,0.1,114.1,22.7,0,0,0,0,126.4,24.3,0,0
1,1971,14,Chhattisgarh,Durg,581.8,412.9,44.4,25.8,0.3,0.2,0,0,0.3,0.2,0,0,2.7,3.1,0.9,0.2,0.2,0.1,50.3,32.8,33.9,34.6,351.5,154.9,0.1,0,10.8,1,1.1,0.4,0.07,0,0.3,0.1,111.7,18.5,0,0,0,0,124.2,20.2,0,0
1,1972,14,Chhattisgarh,Durg,582.2,381,39.6,20.6,0.3,0.3,0,0,0.3,0.3,0,0,2.8,3.2,0.8,0.1,0.1,0.1,52.3,32.6,32.8,42.4,331.8,100.6,0.1,0,10.4,1.9,1.2,0.7,0,0,0.3,0.1,111.7,22.7,0,0,0,0,123.8,25.4,0,0
1,1973,14,Chhattisgarh,Durg,600,471.9,37.3,18.6,0.2,0.2,0,0,0.2,0.2,0,0,2.9,2.7,0.8,0.2,0.1,0.1,56.4,32.4,32.2,22.8,352.6,106.4,0.1,0,9.6,1.3,1.2,0.7,0,0,0.2,0.1,118.8,28,0,0,0,0,130.2,30.3,0,0
1,1974,14,Chhattisgarh,Durg,587.4,219,36.5,22.4,0.5,0.4,0,0,0.5,0.4,0,0,2.9,2.9,0.8,0.3,0.2,0.1,54.9,41,32.5,37.6,153.1,61.3,0,0,9.9,1.4,1.4,0.8,0,0,0.2,0.1,85,21.4,0,0,0,0,96.8,23.9,0,0
1,1975,14,Chhattisgarh,Durg,598.3,454,49.2,27.8,0.2,0.2,0,0,0.2,0.2,0,0,2.9,2.9,0.8,0.2,0.2,0.2,58.3,30.2,34.2,26.7,320.2,121.2,0,0,8.6,0.9,1.6,0.9,0.1,0,0.2,0.1,120.7,28.7,0,0,0,0,131.5,30.8,0,0
